Rank,name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,website,hq_location
47,Splunk Inc.,Other,Public,2003,"5,000","2,360.0",287.0,https://www.splunk.com/en_us/careers/university-recruiting.html,splunk.com,"San Francisco, CA"
48,"Ripple Labs, Inc.",Software,Private,2012,550,12.7,12.7,https://ripple.com/company/careers/all-jobs/,ripple.com,"San Francisco, CA"
49,Pipedrive,Software,Private,2010,600,90.0,-,https://www.pipedrive.com/en/jobs,pipedrive.com,New York
50,Nuance Communications,Software,Private,1992,"8,200","1,950.0",139.0,https://www.nuance.com/about-us/careers.html,nuance.com,"Burlington, MA"
51,Zend Technologies Ltd.,Software,Private,1999,360,5.6,-,https://www.perforce.com/careers,zend.com,"Cupertino, CA"
52,Venmo,Other,Private,2009,200,300.0,163.0,https://venmo.com/about/jobs/,venmo.com,New York
53,Telerik,Software,Private,2002,600,1.5,-,https://www.telerik.com/campaigns/devcraft/student-license,telerik.com,
54,Qualtrics International Inc.,Other,Private,2001,"3,000",423.0,-,https://www.qualtrics.com/careers/,qualtrics.com,"Provo, UT"
55,Malwarebytes Inc.,"Software,Consulting,Security",Private,2008,800,130.0,-,https://jobs.malwarebytes.com/,malwarebytes.com,"Santa Clara, CA"
56,Seagate Technology PLC,"Software,Database",Public,1979,"41,000","10,400.0","1,050.0",https://www.seagate.com/jobs/university-programs/,seagate.com,"Cupertino, California Dublin Ireland"
57,Pantheon,Software,Private,2010,100,3.6,-,https://pantheon.io/careers,pantheon.io,"San Francisco, CA"
58,"Citrix Systems, Inc.","Software,Distributed Systems",Public,1998,"8,200","3,010.0",629.0,https://jobs.citrix.com/,citrix.com,"Fort Lauderdale, FL"
59,Smartsheet Inc.,Other,Public,2006,"1,590",176.0,-,https://www.smartsheet.com/careers,smartsheet.com,"Bellevue, WA"
60,"Clover Network, Inc.",Other,Private,2012,200,91.0,14.6,https://careers.clover.com/,clover.com,"Sunnyvale, CA"
61,Punchbowl.com,"Software,Consulting,Networking",Private,2006,30,201.0,79.4,https://www.punchbowlboyshighschoolcareers.com/,punchbowl.com,"Framingham, Massachusetts"
62,"The MathWorks, Inc.",Software,Private,1984,"5,000","1,050.0",900.0,https://www.mathworks.com/company/jobs/students.html,mathworks.com,"Natick, MA"
63,"G2 Crowd, Inc.","Software,Networking",Private,2012,360,26.7,26.7,https://culture.g2.com/careers,g2.com,"Chicago, Illinois"
64,Data Domain Corporation,Other,Private,2001,777,79.8,-,https://jobs.dell.com/students,emc.com,"Hopkinton, MA"
65,Panic Inc.,"Software,Multimedia",Private,1997,25,21.4,-,https://panic.com/jobs/,panic.com,
66,"Brightcove, Inc.","Networking,Multimedia",Public,2004,610,185.0,109.0,https://www.brightcove.com/en/company/careers,brightcove.com,"Boston, MA"
67,"LivePerson, Inc.",Networking,Private,1995,"1,340",292.0,353.0,https://www.liveperson.com/company/careers/,liveperson.com,"New York, NY"
68,Calm (company),Other,Private,2012,50,170.0,-,https://boards.greenhouse.io/calm,calm.com,"San Francisco, CA"
69,Magento,Other,Private,2008,810,"1,680.0",826.0,https://www.adobe.com/careers.html,magento.com,"San Jose, CA"
70,"Wolfram Research, Inc.",Software,Private,1987,700,85.3,-,https://www.wolfram.com/company/careers/,wolfram.com,"Champaign, IL"
71,Mindbody Inc.,Software,Private,2001,"1,350",139.0,21.3,https://company.mindbodyonline.com/careers,mindbodyonline.com,"San Luis Obispo, CA"
72,Brainshark,Other,Private,1999,250,65.0,20.9,https://www.brainshark.com/company/careers,brainshark.com,"Waltham, MA"
73,"Juniper Networks, Inc.","Networking,Electronics",Public,1996,"9,400","4,410.0",848.0,https://careers.juniper.net/,juniper.net,"Sunnyvale, CA"
74,Kagoor Networks,"Software,Consulting,Electronics,Security",Private,2000,250,20.5,467.0,https://www.db.com/careers/en/grad/index.html,juniper.net,"Sunnyvale, CA"
75,CA Wily Technology,Other,Private,1998,500,37.6,37.5,https://www.broadcom.com/company/careers,https://www.broadcom.com/products/software/aiops/application-performance-management,"San Jose, CA"
76,"Medallia, Inc.",Other,Public,2001,"1,500",402.0,-,https://www.medallia.com/careers/,medallia.com,"San Francisco, CA"
77,"OverDrive, Inc.","Software,Consulting",Private,1986,330,32.5,32.5,https://company.overdrive.com/careers/,overdrive.com,"Cleveland, OH"
78,"Docker, Inc.",Software,Private,2008,500,273.0,92.0,https://www.docker.com/careers,docker.com,"Palo Alto, CA"
79,Synopsys,"Software,Consulting,Security",Public,1986,400,"3,360.0",433.0,https://www.synopsys.com/company/synopsys-careers.html,synopsys.com,"Mountain View, CA"
80,Dassault Systems,"Software,Aviation,Automobiles",Private,1981,700,155.0,-,https://careers.3ds.com/,3ds.com,
81,Remember The Milk Inc.,Other,Private,2005,10,135.0,-,https://www.rememberthemilk.com/about/jobs.rtm,rememberthemilk.com,"San Francisco, CA"
82,"ThoughtWorks, Inc.",Software,Private,1993,"7,000",500.0,100.0,https://www.thoughtworks.com/careers/graduates,thoughtworks.com,"Chicago, IL"
83,Expensify,Software,Private,2008,130,100.0,50.0,https://we.are.expensify.com/,expensify.com,"San Francisco, CA"
84,"eFileCabinet, Inc.",Software,Private,2001,104,30.6,11.5,https://www.efilecabinet.com/careers/,efilecabinet.com,"Lehi, Utah"
85,Intuit Inc.,Software,Public,1983,"9,400","6,780.0","1,850.0",https://www.intuit.com/careers/programs/students-and-grads/,intuit.com,"Mountain View, CA"
86,"Bentley Systems, Inc.",Software,Public,1984,"3,800",700.0,-,https://www.bentley.com/en/about-us/careers,bentley.com,
87,"Instructure, Inc.",Software,Private,2008,"1,291",210.0,72.4,https://www.instructure.com/about/careers,instructure.com,"Salt Lake City, UT"
88,Micro Focus Enterprise Security,"Software,Consulting,Security",Private,1976,"12,000","3,350.0","5,160.0",https://jobs.microfocus.com/,microfocus.com,
89,"Fastly, Inc.",Networking,Private,2011,700,200.0,64.0,https://www.fastly.com/about/careers,fastly.com,"San Francisco, CA"
90,TIBCO Software Inc.,Software,Private,1997,"4,200",1.0,68.8,https://www.tibco.com/careers/university-program,tibco.com,"Palo Alto, CA"
91,"Fortinet, Inc.","Software,Consulting,Networking,Security",Public,2000,"6,015","2,160.0",110.0,https://www.fortinet.com/corporate/careers,fortinet.com,"Sunnyvale, CA"
92,RSA Security LLC,"Consulting,Networking,Security",Private,1982,"2,700",226.0,147.0,https://jobs.rsa.com/students,rsa.com,"Bedford, MA"
93,"Marketo, Inc.",Software,Private,2006,"1,300",321.0,1.0,https://www.marketo.com/education/,marketo.com,"San Mateo, CA"
94,"Gigya, Inc.",Consulting,Private,2006,280,32.6,10.5,https://www.sap.com/about/careers.html,gigya.com,"Palo Alto, CA"
95,Looker,Software,Private,2012,500,140.0,28.0,https://looker.com/blog/interns-of-looker,looker.com,"Santa Cruz, CA"
96,Doximity Inc.,Networking,Private,2010,475,709.0,500.0,https://workat.doximity.com/positions/,doximity.com,"San Francisco, CA"
97,Blockstream,Software,Private,2014,50,68.6,850.0,https://blockstream.com/careers/,blockstream.com,
98,Zoom Information Inc.,Software,Public,2007,"1,200",350.0,23.4,https://www.zoominfo.com/about/careers,zoominfo.com,"Waltham, MA"
99,"RealNetworks, Inc.",Software,Public,1994,"1,060",172.0,21.7,https://www.realnetworks.com/careers,realnetworks.com,"Seattle, WA"
100,Snagajob,Networking,Private,2000,300,75.0,-,https://www.snagajob.com/student-jobs/,snagajob.com,"Glen Allen, VA"
101,"RetailMeNot, Inc.",Networking,Private,2006,500,249.0,-,https://www.retailmenot.com/corp/careers-engineering/,retailmenot.com,"Austin, TX"
102,Rosetta Stone Inc.,Software,Public,1992,"1,375",265.0,18.4,https://www.rosettastone.com/careers/,rosettastone.com,"Arlington County, VA"
103,Progress Software,Software,Public,1981,"1,500",398.0,-,https://www.progress.com/company/careers,progress.com,"Bedford, MA"
104,Inkling,Software,Private,2009,124,11.6,-,https://www.inkling.com/careers/,inkling.com,"San Francisco, CA"
105,Webroot Inc.,Software,Private,1997,600,215.0,-,https://www.webroot.com/us/en/about/careers,webroot.com,"Broomfield, CO"
106,MarkLogic Corporation,Software,Private,2001,500,100.0,-,https://www.marklogic.com/company/careers/,marklogic.com,"San Carlos, CA"
107,Zello Inc,Other,Private,2011,40,10.0,-,https://zello.com/careers/,zello.com,"Austin, TX"
108,The Omni Group,Software,Private,1989,101,0.2,-,https://www.omnigroup.com/jobs/,omnigroup.com,"Seattle, WA"
109,"Cloudera, Inc.",Software,Public,2008,"3,000",794.0,-,https://www.cloudera.com/careers/teams/university-recruiting.html,cloudera.com,"Palo Alto, CA"
110,"Jobvite, Inc.",Software,Private,2006,450,22.2,-,https://jobs.jobvite.com/logitech/,jobvite.com,Indianapolis United States
111,MongoDB Inc.,Software,Public,2007,"2,000",422.0,-,https://www.mongodb.com/careers,mongodb.com,"New York City, New York United States"
112,"PreSonus Audio Electronics, Inc.","Software,Multimedia",Private,1995,330,115.0,-,https://www.presonus.com/about/careers,presonus.com,"Baton Rouge, LA"
113,Imperva Inc.,"Consulting,Security",Private,2002,"1,000",91.1,-,https://www.imperva.com/company/careers/,imperva.com,"Redwood Shores, CA"
114,"Datatel, Inc.",Software,Private,2012,530,138.0,-,https://careers.ellucian.com/,ellucian.com,Virginia
115,Piazza (web service),Other,Private,2009,30,71.5,-,https://recruiting.piazza.com/,piazza.com,"Palo Alto, CA"
116,SugarCRM,Software,Private,2004,450,96.0,-,https://www.sugarcrm.com/careers/,sugarcrm.com,"Cupertino, CA"
117,Internet Systems Consortium,Other,Private,1994,35,1.9,-,https://www.isc.org/careers/,isc.org,
118,Daegis Inc.,Software,Private,1980,140,31.0,170.0,https://www.opentext.com/products-and-solutions/products/opentext-product-offerings-catalog/rebranded-products/daegis,opentext.com,"Roseville, CA"
119,"Okta, Inc.",Software,Public,2009,"2,379",586.0,-,https://www.okta.com/company/careers/,okta.com,"San Francisco, CA"
120,OpenText Exstream,Other,Private,1998,"12,200","2,900.0",-,https://www.e-xstream.com/about-us/about-e-xstream/careers,opentext.com,"Lexington, Kentucky"
121,"Pivotal Software, Inc.",Software,Private,2013,"2,970",509.0,-,https://careers.vmware.com/main/jobs,pivotal.io,"San Francisco, CA"
122,Fair Isaac Corporation,Software,Public,1956,"3,360",932.0,177.0,https://www.fico.com/en/careers,fico.com,"San Jose, CA"
123,SugarSync,Other,Private,2004,160,"12,100.0",-,https://www.sugarsync.com/company/careers.html,sugarsync.com,"San Mateo, CA"
124,"Domo, Inc.",Software,Public,2010,825,142.0,-,https://www.domo.com/company/careers,domo.com,"American Fork, UT"
125,Ontraport,Software,Private,2006,100,10.0,-,https://ontraport.com/careers/jobs/internships,ontraport.com,"Santa Barbara, CA"
126,"PagerDuty, Inc.","Software,Consulting",Public,2009,525,84.0,-,https://www.pagerduty.com/careers/,pagerduty.com,"San Francisco, California"
127,"Datadog, Inc.",Consulting,Public,2010,"1,200",368.0,-,https://www.datadoghq.com/careers/,datadoghq.com,"New York City, NY"
128,CodeWeavers,Software,Private,1996,30,16.1,-,https://www.codeweavers.com/about/jobs,codeweavers.com,"Saint Paul, MN"
129,"NCR Netkey, Inc",Software,Public,1983,"36,000",-,-,https://www.lockheedmartinjobs.com/college-students,ncr.com,"East Haven, Conn"
130,"Vuze, Inc.",Multimedia,Private,2006,190,6.2,-,https://www.ncr.com/careers,vuze.com,"San Mateo, CA"
131,Glitch,Software,Private,2000,30,175.0,-,https://glitch.com/about,glitch.com,New York
132,"Zuora, Inc.",Software,Public,2007,"1,250",276.0,-,https://www.zuora.com/about/careers/,zuora.com,"Redwood City, CA"
133,"LEAD Technologies, inc.",Software,Private,1990,80,50.0,-,https://www.leadtools.com/corporate/careers,leadtools.com,
134,Dell EMC,"Software,Database",Public,1979,"165,000","90,600.0",-,https://jobs.dell.com/students,dellemc.com,"Hopkinton, MA"
135,Palantir Technologies Inc.,Software,Public,2003,"2,500",739.0,-,https://www.palantir.com/students/,palantir.com,"Denver, CO"
136,Kaltura,"Networking,Multimedia",Private,2006,450,100.0,-,https://corp.kaltura.com/company/careers/,kaltura.com,"New York, NY"
137,Genesys,Other,Private,1990,"5,940",2.0,-,https://www.genesys.com/company/careers,genesys.com,"Daly City, CA"
138,Ping Identity,"Software,Consulting",Public,2002,970,140.0,-,https://www.pingidentity.com/en/company/careers.html,pingidentity.com,"Denver, CO"
139,"Fidelity National Information Services, Inc.",Other,Public,1968,"55,000","12,200.0",-,https://www.fisglobal.com/en/careers,fisglobal.com,"Jacksonville, FL"
140,SolarWinds Inc.,Software,Public,1999,"2,500",939.0,-,https://www.solarwinds.jobs/,solarwinds.com,"Austin, TX"
141,"Zscaler, Inc.","Software,Consulting,Networking,Security",Public,2008,"1,480",431.0,-,https://www.zscaler.com/careers,zscaler.com,"San Jose, CA"
142,SeeClickFix,"Software,Consulting",Private,2008,20,75.0,-,https://seeclickfix.com/pages/jobs.html,seeclickfix.com,"New Haven, CT"
143,Veeam Software Group GmbH,Software,Private,2006,"4,300",1.0,-,https://careers.veeam.com/?ad=menu-company,veeam.com,
144,"Workday, Inc.","Software,Distributed Systems",Public,2005,"3,700","3,630.0",146.0,https://www.workday.com/en-us/company/careers/university-recruiting.html,workday.com,"Pleasanton, CA"
145,"NewTek, Inc.",Software,Private,1985,310,52.0,-,https://www.newtek.com/,newtek.com,"San Antonio, TX"
146,OneLogin,Distributed Systems,Private,2009,260,50.2,-,https://www.onelogin.com/company/careers,onelogin.com,"San Francisco, CA"
147,"MuleSoft, LLC.",Software,Private,2006,"1,190",296.0,79.8,https://www.mulesoft.com/careers,mulesoft.com,"San Francisco, CA"
148,MicroStrategy Incorporated,Software,Public,1989,"2,400",486.0,-,https://www.microstrategy.com/en/careers,microstrategy.com,"1850 Towers Crescent Plaza Tysons Corner, VA"
149,LiquidPlanner,Other,Private,2006,65,8.0,-,https://www.liquidplanner.com/blog/category/careers/,liquidplanner.com,"Seattle, WA"
150,Informatica,Software,Private,1993,"4,800","1,050.0",-,https://informatica.gr8people.com/,informatica.com,"Redwood City, CA"
151,RhythmOne plc,Networking,Public,2004,525,145.0,-,https://www.rhythmone.com/careers/,rhythmone.com,"San Francisco, CA"
152,Cerner Corporation,"Software,Consulting,Pharmaceuticals",Public,1979,"27,400","5,700.0",763.0,https://careers.cerner.com/students-graduates,cerner.com,"North Kansas City, MO"
153,Caspio,Software,Private,2000,150,10.0,-,https://www.caspio.com/careers/,caspio.com,"Santa Clara, CA"
154,"RiskIQ, Inc.",Other,Private,2009,212,30.7,-,https://www.riskiq.com/company/careers/,riskiq.com,"San Francisco, CA"
155,Harman Connected Services,Networking,Private,2001,"30,000",290.0,-,https://jobs.harman.com/,harman.com,"Stamford, CT"
156,Insight Enterprises,Other,Public,1988,"11,000","6,700.0",-,https://www.insight.com/en_US/careers.html,insight.com,"Tempe, AZ"
157,"Sawtooth Software, Inc.",Software,Private,1983,37,137.0,-,https://sawtoothsoftware.com/careers,sawtoothsoftware.com,"Provo, UT"
158,"BMC Software, Inc.",Software,Private,1980,"6,000",2.0,-,https://www.bmc.com/careers/careers.html,bmc.com,"Houston, TX"
159,Corona Labs,Other,Private,2007,50,3.0,-,https://coronalabs.com/jobs/,coronalabs.com,"San Francisco, CA"
160,"Greenhouse Software, Inc.",Other,Private,2012,500,50.0,-,https://www.greenhouse.io/careers,greenhouse.io,New York City
161,"iCIMS, Inc.",Software,Private,2000,"1,000",300.0,-,https://careers.icims.com/,icims.com,"Holmdel, NJ"
162,"Ceridian HCM, Inc.",Software,Public,1992,"5,200",824.0,72.3,https://www.ceridian.com/careers,ceridian.com,"Minneapolis, MN"
163,SunGard Data Systems,"Software,Consulting",Private,1983,"13,000","4,990.0",-,https://jobs.sungardas.com/,sungard.com,"Wayne, PA"
164,"Carbon Black, Inc.","Consulting,Security",Private,2002,"1,000",60.9,-,https://lifeatcb.carbonblack.com/,carbonblack.com,"Waltham, MA"
165,"Qualys, Inc.","Consulting,Networking,Security",Public,1999,"1,265",322.0,-,https://www.qualys.com/careers/,qualys.com,"Foster City, CA"
166,"Perforce Software, Inc.","Software,Consulting",Private,1995,250,23.0,-,https://www.perforce.com/careers,perforce.com,"Minneapolis, MN"
167,IZotope,"Software,Electronics",Private,2001,170,7.5,-,https://www.izotope.com/en/company/education/partners.html,izotope.com,"Cambridge, MA"
168,"Rogue Wave Software, Inc.",Other,Private,1989,400,79.5,-,https://www.roguewave.com/products-services/student-request-form,roguewave.com,"Louisville, CO"
169,Infor,Software,Private,2002,"17,000","2,800.0",-,https://www.infor.com/about/careers,infor.com,"New York, NY"
170,"Recorded Future, Inc.","Consulting,Security",Private,2009,450,100.0,-,https://www.recordedfuture.com/careers/,recordedfuture.com,"Somerville, MA"
171,"Veracode, Inc.",Software,Private,2006,750,58.5,-,https://www.veracode.com/about/careers,veracode.com,"Burlington, MA"
172,"Ipswitch, Inc.","Consulting,Networking,Security",Private,1991,300,75.0,-,https://www.ipswitch.com/,ipswitch.com,"Burlington, MA"
173,Coda,Other,Private,2014,600,25.0,-,https://boards.greenhouse.io/coda,coda.io,"San Francisco, CA"
174,"Tripwire, Inc.",Other,Private,1997,400,86.2,-,https://www.tripwire.com/company/careers,tripwire.com,"Portland, OR"
175,"SmartBear Software, Inc.",Software,Private,2009,650,51.1,-,https://smartbear.com/company/careers/,smartbear.com,
176,Sauce Labs,Software,Private,2008,330,30.0,-,https://saucelabs.com/company/careers,saucelabs.com,"San Francisco, CA"
177,"Universal Audio, Inc.",Other,Private,1999,200,24.7,-,https://www.uaudio.com/careers/,uaudio.com,"Scotts Valley, CA"
178,"Databricks, Inc.",Software,Private,2013,"1,440",200.0,-,https://databricks.com/company/careers,databricks.com,"San Francisco, CA"
179,"Hortonworks, Inc.",Software,Private,2011,"1,110",1.0,-,https://www.cloudera.com/careers/teams/university-recruiting.html,hortonworks.com,"Santa Clara,CA"
180,"GrabCAD, Inc.",Other,Public,2009,80,865.0,-,https://resources.grabcad.com/jobs/,grabcad.com,"Cambridge, MA"
181,"Cadence Design Systems, Inc.",Software,Public,1988,"8,100","2,340.0",-,https://www.cadence.com/en_US/home/company/careers.html,cadence.com,"San Jose, CA"
182,Kofax Inc.,Software,Private,1985,"1,380",100.0,-,https://www.kofax.com/About/our-company/careers,kofax.com,"Irvine, CA"
183,NortonLifeLock Inc.,"Software,Consulting,Security",Public,1982,"3,670","2,490.0",621.0,https://www.nortonlifelock.com/us/en/careers/,nortonlifelock.com,"Tempe, AZ"
184,Brandfolder,"Software,Consulting",Private,2012,50,24.0,-,https://jobs.brandfolder.com/,brandfolder.com,"Denver, CO"
185,"Daz Productions, Inc",Other,Private,2000,40,"2,270.0",-,https://www.linkedin.com/company/daz-productions,daz3d.com,"Salt Lake City, UT"
186,NationBuilder,Software,Private,2009,100,14.8,-,https://nationbuilder.com/careers,nationbuilder.com,Los Angeles
187,"LogMeIn, Inc.",Software,Private,2003,"3,970","1,260.0",-,https://www.logmeininc.com/careers,logmeininc.com,"Boston, MA"
188,EPAM Systems,Software,Public,1993,"36,700","2,290.0",-,https://www.epam.com/careers,epam.com,"Newtown, PA"
189,Sumo Logic,"Software,Consulting,Security",Public,2010,800,155.0,-,https://www.sumologic.com/company/careers/,sumologic.com,"Redwood City, CA"
190,Caliper Corporation,Software,Private,1983,150,19.2,-,https://www.caliper.com/jobs.htm,caliper.com,"Princeton, NJ"
191,"NETSCOUT Systems, Inc.",Other,Public,1984,"3,000","1,160.0",62.1,https://www.netscout.com/company/be-a-guardian,netscout.com,"Westford, MA"
192,Boris FX,"Software,Multimedia",Private,1995,145,9.0,-,https://borisfx.com/company/careers/,borisfx.com,"Boston, MA"
193,"PKWARE, Inc",Software,Private,1986,100,14.1,-,https://www.pkware.com/careers,pkware.com,"Milwaukee, WI"
194,Shopkick,Other,Private,2009,160,"2,500.0",-,https://www.shopkick.com/careers,shopkick.com,"Redwood City, CA"
195,EON Reality,"Consulting,Artificial Intelligence",Private,1999,50,28.1,-,https://eonreality.com/tag/student-recruitment/,eonreality.com,"Irvine, CA"
196,Wanderu,"Software,Travel",Private,2011,45,200.0,-,https://www.wanderu.com/blog/wanderu-careers/,wanderu.com,"Boston, MA"
197,ITA Software LLC,"Software,Travel",Private,1996,450,38.0,-,https://www.zippia.com/ita-software-careers-513200/,itasoftware.com,"Cambridge, MA"
198,"Tyler Technologies, Inc.",Software,Public,1966,"5,370","1,090.0",156.0,https://www.tylertech.com/careers,tylertech.com,"Plano, TX"
199,Telenav,Other,Public,1999,580,240.0,,https://careers.telenav.com/,telenav.com,"Santa Clara, CA"
200,"ecoATM, LLC",Other,Private,2008,300,26.1,-,https://www.ecoatm.com/pages/careers,ecoatm.com,
201,Forcepoint LLC,"Consulting,Security",Private,1994,"2,300",658.0,-,https://www.forcepoint.com/company/careers,forcepoint.com,"Austin, TX"
