Rank,name,website,students_careers_url,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),hq_location
45,Janrain,akamai.com,https://www.akamai.com/us/en/about/careers/,Other,Private,2005,120,14.3,-,"Cambridge, MA"
46,JW Player,jwplayer.com,https://www.jwplayer.com/careers/,Other,Private,2005,200,499,-,New York
47,Splunk Inc.,splunk.com,https://www.splunk.com/en_us/careers/university-recruiting.html,Other,Public,2003,5000,"2,360.00",287,"San Francisco, CA"
48,"Ripple Labs, Inc.",ripple.com,https://ripple.com/company/careers/all-jobs/,Software,Private,2012,550,12.7,12.7,"San Francisco, CA"
49,Pipedrive,pipedrive.com,https://www.pipedrive.com/en/jobs,Software,Private,2010,600,90,-,New York
50,Nuance Communications,nuance.com,https://www.nuance.com/about-us/careers.html,Software,Private,1992,8200,"1,950.00",139,"Burlington, MA"
51,Zend Technologies Ltd.,zend.com,https://www.perforce.com/careers,Software,Private,1999,360,5.6,-,"Cupertino, CA"
52,Venmo,venmo.com,https://venmo.com/about/jobs/,Other,Private,2009,200,120,163,New York
53,Telerik,telerik.com,https://www.telerik.com/campaigns/devcraft/student-license,Software,Private,2002,600,1.54,-,
54,Qualtrics International Inc.,qualtrics.com,https://www.qualtrics.com/careers/,Other,Private,2001,3000,423,-,"Provo, UT"
55,Malwarebytes Inc.,malwarebytes.com,https://jobs.malwarebytes.com/,"Software,Consulting,Security",Private,2008,800,130,-,"Santa Clara, CA"
56,Seagate Technology PLC,seagate.com,https://www.seagate.com/jobs/university-programs/,"Software,Database",Public,1979,41000,"10,400.00","1,050.00","Cupertino, California Dublin Ireland"
57,Pantheon,pantheon.io,https://pantheon.io/careers,Software,Private,2010,100,3.6,-,"San Francisco, CA"
58,"Citrix Systems, Inc.",citrix.com,https://jobs.citrix.com/,"Software,Distributed Systems",Public,1998,8200,"3,010.00",629,"Fort Lauderdale, FL"
59,Smartsheet Inc.,smartsheet.com,https://www.smartsheet.com/careers,Other,Public,2006,1590,176,-,"Bellevue, WA"
60,"Clover Network, Inc.",clover.com,https://careers.clover.com/,Other,Private,2012,200,91,14.6,"Sunnyvale, CA"
61,Punchbowl.com,punchbowl.com,https://www.punchbowlboyshighschoolcareers.com/,"Software,Consulting,Networking",Private,2006,30,201,79.4,"Framingham, Massachusetts"
62,"The MathWorks, Inc.",mathworks.com,https://www.mathworks.com/company/jobs/students.html,Software,Private,1984,5000,"1,050.00",900,"Natick, MA"
63,"G2 Crowd, Inc.",g2.com,https://culture.g2.com/careers,"Software,Networking",Private,2012,360,26.7,26.7,"Chicago, Illinois"
64,Data Domain Corporation,emc.com,https://jobs.dell.com/students,Other,Private,2001,777,79.8,-,"Hopkinton, MA"
65,Panic Inc.,panic.com,https://panic.com/jobs/,"Software,Multimedia",Private,1997,25,21.4,-,
66,"Brightcove, Inc.",brightcove.com,https://www.brightcove.com/en/company/careers,"Networking,Multimedia",Public,2004,610,185,109,"Boston, MA"
67,"LivePerson, Inc.",liveperson.com,https://www.liveperson.com/company/careers/,Networking,Private,1995,1340,292,353,"New York, NY"
68,Calm (company),calm.com,https://boards.greenhouse.io/calm,Other,Private,2012,50,170,-,"San Francisco, CA"
69,Magento,magento.com,https://www.adobe.com/careers.html,Other,Private,2008,810,"1,680.00",826,"San Jose, CA"
70,"Wolfram Research, Inc.",wolfram.com,https://www.wolfram.com/company/careers/,Software,Private,1987,700,85.3,-,"Champaign, IL"
71,Mindbody Inc.,mindbodyonline.com,https://company.mindbodyonline.com/careers,Software,Private,2001,1350,139,21.3,"San Luis Obispo, CA"
72,Brainshark,brainshark.com,https://www.brainshark.com/company/careers,Other,Private,1999,250,65,20.9,"Waltham, MA"
73,"Juniper Networks, Inc.",juniper.net,https://careers.juniper.net/,"Networking,Electronics",Public,1996,9400,"4,410.00",848,"Sunnyvale, CA"
75,CA Wily Technology,https://www.broadcom.com/products/software/aiops/application-performance-management,https://www.broadcom.com/company/careers,Other,Private,1998,500,37.6,37.5,"San Jose, CA"
76,"Medallia, Inc.",medallia.com,https://www.medallia.com/careers/,Other,Public,2001,1500,402,-,"San Francisco, CA"
77,"OverDrive, Inc.",overdrive.com,https://company.overdrive.com/careers/,"Software,Consulting",Private,1986,330,32.5,32.5,"Cleveland, OH"
78,"Docker, Inc.",docker.com,https://www.docker.com/careers,Software,Private,2008,500,273,92,"Palo Alto, CA"
79,Synopsys,synopsys.com,https://www.synopsys.com/company/synopsys-careers.html,"Software,Consulting,Security",Public,1986,400,"3,360.00",433,"Mountain View, CA"
80,Dassault Systems,3ds.com,https://careers.3ds.com/,"Software,Aviation,Automobiles",Private,1981,700,155,-,
81,Remember The Milk Inc.,rememberthemilk.com,https://www.rememberthemilk.com/about/jobs.rtm,Other,Private,2005,10,135,-,"San Francisco, CA"
82,"ThoughtWorks, Inc.",thoughtworks.com,https://www.thoughtworks.com/careers/graduates,Software,Private,1993,7000,500,100,"Chicago, IL"
83,Expensify,expensify.com,https://we.are.expensify.com/,Software,Private,2008,130,100,50,"San Francisco, CA"
84,"eFileCabinet, Inc.",efilecabinet.com,https://www.efilecabinet.com/careers/,Software,Private,2001,104,30.6,11.5,"Lehi, Utah"
85,Intuit Inc.,intuit.com,https://www.intuit.com/careers/programs/students-and-grads/,Software,Public,1983,9400,"6,780.00","1,850.00","Mountain View, CA"
86,"Bentley Systems, Inc.",bentley.com,https://www.bentley.com/en/about-us/careers,Software,Public,1984,3800,700,-,
87,"Instructure, Inc.",instructure.com,https://www.instructure.com/about/careers,Software,Private,2008,1291,210,72.4,"Salt Lake City, UT"
88,Micro Focus Enterprise Security,microfocus.com,https://jobs.microfocus.com/,"Software,Consulting,Security",Private,1976,12000,"3,350.00","5,160.00",
89,"Fastly, Inc.",fastly.com,https://www.fastly.com/about/careers,Networking,Private,2011,700,200,64,"San Francisco, CA"
90,TIBCO Software Inc.,tibco.com,https://www.tibco.com/careers/university-program,Software,Private,1997,4200,1,68.8,"Palo Alto, CA"
91,"Fortinet, Inc.",fortinet.com,https://www.fortinet.com/corporate/careers,"Software,Consulting,Networking,Security",Public,2000,6015,"2,160.00",110,"Sunnyvale, CA"
92,RSA Security LLC,rsa.com,https://jobs.rsa.com/students,"Consulting,Networking,Security",Private,1982,2700,226,147,"Bedford, MA"
93,"Marketo, Inc.",marketo.com,https://www.marketo.com/education/,Software,Private,2006,1300,321,1,"San Mateo, CA"
94,"Gigya, Inc.",gigya.com,https://www.sap.com/about/careers.html,Consulting,Private,2006,280,32.6,10.5,"Palo Alto, CA"
95,Looker,looker.com,https://looker.com/blog/interns-of-looker,Software,Private,2012,500,140,28,"Santa Cruz, CA"
96,Doximity Inc.,doximity.com,https://workat.doximity.com/positions/,Networking,Private,2010,475,709,500,"San Francisco, CA"
97,Blockstream,blockstream.com,https://blockstream.com/careers/,Software,Private,2014,50,68.6,850,
98,Zoom Information Inc.,zoominfo.com,https://www.zoominfo.com/about/careers,Software,Public,2007,1200,350,23.4,"Waltham, MA"
99,"RealNetworks, Inc.",realnetworks.com,https://www.realnetworks.com/careers,Software,Public,1994,1060,172,21.7,"Seattle, WA"
100,Snagajob,snagajob.com,https://www.snagajob.com/student-jobs/,Networking,Private,2000,300,75,-,"Glen Allen, VA"
101,"RetailMeNot, Inc.",retailmenot.com,https://www.retailmenot.com/corp/careers-engineering/,Networking,Private,2006,500,249,-,"Austin, TX"
102,Rosetta Stone Inc.,rosettastone.com,https://www.rosettastone.com/careers/,Software,Public,1992,1375,265,18.4,"Arlington County, VA"
103,Progress Software,progress.com,https://www.progress.com/company/careers,Software,Public,1981,1500,398,-,"Bedford, MA"
104,Inkling,inkling.com,https://www.inkling.com/careers/,Software,Private,2009,124,11.6,-,"San Francisco, CA"
105,Webroot Inc.,webroot.com,https://www.webroot.com/us/en/about/careers,Software,Private,1997,600,215,-,"Broomfield, CO"
106,MarkLogic Corporation,marklogic.com,https://www.marklogic.com/company/careers/,Software,Private,2001,500,100,-,"San Carlos, CA"
107,Zello Inc,zello.com,https://zello.com/careers/,Other,Private,2011,40,10,-,"Austin, TX"
108,The Omni Group,omnigroup.com,https://www.omnigroup.com/jobs/,Software,Private,1989,101,0.2,-,"Seattle, WA"
109,"Cloudera, Inc.",cloudera.com,https://www.cloudera.com/careers/teams/university-recruiting.html,Software,Public,2008,3000,794,-,"Palo Alto, CA"
110,"Jobvite, Inc.",jobvite.com,https://jobs.jobvite.com/logitech/,Software,Private,2006,450,22.2,-,Indianapolis United States
111,MongoDB Inc.,mongodb.com,https://www.mongodb.com/careers,Software,Public,2007,2000,422,-,"New York City, New York United States"
112,"PreSonus Audio Electronics, Inc.",presonus.com,https://www.presonus.com/about/careers,"Software,Multimedia",Private,1995,330,115,-,"Baton Rouge, LA"
113,Imperva Inc.,imperva.com,https://www.imperva.com/company/careers/,"Consulting,Security",Private,2002,1000,91.1,-,"Redwood Shores, CA"
114,"Datatel, Inc.",data-telinc.net,https://data-telinc.net/careers/,Software,Private,2012,530,138,-,Virginia
115,Piazza (web service),piazza.com,https://recruiting.piazza.com/,Other,Private,2009,30,71.5,-,"Palo Alto, CA"
116,SugarCRM,sugarcrm.com,https://www.sugarcrm.com/careers/,Software,Private,2004,450,96,-,"Cupertino, CA"
117,Internet Systems Consortium,isc.org,https://www.isc.org/careers/,Other,Private,1994,35,1.9,-,
118,Daegis Inc.,opentext.com,https://www.opentext.com/products-and-solutions/products/opentext-product-offerings-catalog/rebranded-products/daegis,Software,Private,1980,140,31,170,"Roseville, CA"
119,"Okta, Inc.",okta.com,https://www.okta.com/company/careers/,Software,Public,2009,2379,586,-,"San Francisco, CA"
120,OpenText Exstream,opentext.com,https://www.e-xstream.com/about-us/about-e-xstream/careers,Other,Private,1998,12200,"2,900.00",-,"Lexington, Kentucky"
