Automatic Data Processing, Inc. - Common Stock,MuckRock.com
Adaptive Biotechnologies Corporation - Common Stock,PricewaterhouseCoopers
Invesco BLDRS Emerging Markets 50 ADR Index Fund,NonprofitMetrics
Aduro Biotech, Inc. - Common Stock,MuckRock.com
Alliance Data Systems Corporation Common Stock,PlanetEcosystems
Autodesk, Inc. - Common Stock,LoseIt.com
Advanced Disposal Services, Inc. Common Stock,PlaceILive.com
ADT Inc. Common Stock,InfoCommerce
ADTRAN, Inc. - Common Stock,TransUnion
Addus HomeCare Corporation - Common Stock,Relationship
Adverum Biotechnologies, Inc. - Common Stock,PricewaterhouseCoopers
Adams Diversified Equity Fund Inc.,PossibilityU
Addex Therapeutics Ltd - American Depositary Shares,ClearHealthCosts
Advaxis, Inc. - Common Stock,InfoCommerce
Adams Resources & Energy, Inc. Common Stock,MuckRock.com
AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands),NonprofitMetrics
Ameren Corporation Common Stock,Relationship
Aberdeen Emerging Markets Equity Income Fund, Inc. Common Stock,SimpleTuition
Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,Enigma.io
AEGON N.V. Common Stock,Environmental
Aegion Corp - Class A Common Stock,InfoCommerce
Aehr Test Systems - Common Stock,PlanetEcosystems
Advanced Energy Industries, Inc. - Common Stock,PlanetEcosystems
American Equity Investment Life Holding Company Common Stock,PricewaterhouseCoopers
Agnico Eagle Mines Limited Common Stock,ClearHealthCosts
Aethlon Medical, Inc. - Common Stock,PlaceILive.com
American Eagle Outfitters, Inc. Common Stock,ClearHealthCosts
American Electric Power Company, Inc. Common Stock,PricewaterhouseCoopers
AerCap Holdings N.V. Ordinary Shares,Healthgrades
Aerie Pharmaceuticals, Inc. - Common Stock,PlaceILive.com
The AES Corporation Common Stock,ClearHealthCosts
Allied Esports Entertainment, Inc. - Common Stock,FindTheBest.com
Anfield U.S. Equity Sector Rotation ETF,eInstitutional
ADDvantage Technologies Group, Inc. - Common Stock,PlanetEcosystems
AudioEye, Inc. - Common Stock,LoseIt.com
Aeterna Zentaris Inc. - Common Stock,Peterson's
AllianceBernstein National Municipal Income Fund Inc,eInstitutional
Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047,PricewaterhouseCoopers
American Financial Group, Inc. Common Stock,Environmental
American Financial Group, Inc. 5.125% Subordinated Debentures due 2059,PricewaterhouseCoopers
American Financial Group, Inc. 6% Subordinated Debentures due 2055,PricewaterhouseCoopers
