Microsoft,212.46,0.9579409416764976
Verizon Communications,59.45,0.9474975615739822
UnitedHealth Group,313.33,0.9636365473270416
CVS Health,57.84,0.21489391289651394
Citigroup,43.44,0.5405229330062866
Bank of America,24.1,0.9437897503376008
Costco Wholesale,358.46,0.5572109669446945
McKesson,146.96,0.8545828610658646
Cardinal Health,46.08,0.948693696409464
Wells Fargo,14.5,0.3463208042085171
Boeing,167.86,0.7939130365848541
Kroger,34.02,0.8326441943645477
HP,113.33,0.2674878537654877
Home Depot,277.7,0.8326444029808044
Procter & Gamble,139.24,0.8996290862560272
Fox,28.21,0.9724695309996604
Constellation Brands,184.61,0.8747259974479675
DuPont de Nemours,54.53,0.9359413087368011
Pfizer,36.37,0.3593674600124359
PepsiCo,140.8,0.8172158151865005
Facebook,266.63,0.8228374421596527
Johnson & Johnson,147.32,0.782374382019043
F.N.B.,6.71,0.8745016157627106
Comcast,46.44,0.9594850987195968
Intel,6.94,0.9347329325973988
Walt Disney,123.31,0.9275933243334292
Goldman Sachs Group,198.55,0.7023529931902885
Arrow Electronics,79.02,0.7063016928732395
Okta,219.3,0.5
Hewlett Packard Enterprise,9.23,0.9134796857833862
Lockheed Martin,380.89,0.9259845726191998
Morgan Stanley,47.26,0.6556976493448019
American Airlines Group,12.58,0.7067090719938278
Oracle,59.68,0.982094705104828
Caterpillar,146.71,0.6226685419678688
Agilent Technologies,101.22,0.2514925003051758
Valero Energy,40.28,0.1668572872877121
Ford Motor,6.75,0.5
United Rentals,175.35,0.5034782737493515
Chimera Investment,8.23,0.6780669540166855
AT&T,59.8,0.7495914548635483
MetLife,37.26,0.9362892508506776
CarMax,93.49,0.6231735274195671
Coca-Cola,39.58,0.4902669414877892
Nike,126.64,0.8673608377575874
FedEx,254.08,0.9475968480110168
Schlumberger,15.01,0.9270515181124209
IBM,4.85,0.7325535826385021
Marathon Petroleum,27.71,0.6972678899765015
HCA Healthcare,124.56,0.8748241364955902
Hasbro,82.95,0.9268571138381958
Bunge,45.83,0.9443285148590804
Mohawk Industries,98.4,0.9687056988477708
Abbott Laboratories,108.64,0.8258401826024055
Humana,415.36,0.7023498006165028
Honeywell International,163.68,0.13073944300413132
3M,158.79,0.2676554769277573
Merck & Co.,81.64,0.9274835586547852
Lear,39.84,0.936589241027832
Prudential Financial,63.51,0.7906127572059631
Mondelez International,57.91,0.8743783608078957
ConocoPhillips,32.43,0.621135376393795
Cigna,167.38,0.500023927539587
AES,17.92,0.7495910227298737
Nucor,45.05,0.4930138662457466
Westinghouse Air Brake Technologies,60.73,0.17669988423585892
Bio-Rad Laboratories,520.81,0.6362556964159012
Sysco,62.62,0.6211297959089279
Macy's,5.84,0.6432875990867615
Northrop Grumman,311.81,0.8376942845061421
Dover,107.14,0.6238830387592316
Capital One Financial,72.93,0.2632161825895309
Best Buy,114.09,0.8674866110086441
Cheniere Energy,46.34,0.6320610791444778
Raytheon Technologies,57.46,0.8634179532527924
Deere & Company,219.04,0.8715410903096199
Carrier Global,30.77,0.9163649678230286
GCI Liberty,83.58,0.7023610062897205
Kraft Heinz Company,30.37,0.7487508654594421
Allstate,92.26,0.5
Travelers,107.81,0.4813642799854279
Lowe's,167.17,0.7492290288209915
Hess,38.98,0.6378906778991222
Advance Auto Parts,154.85,0.755768671631813
AbbVie,87.14,0.2740992456674576
NCR,25.11,0.0871930718421936
Southern Company,54.62,0.2549776248633861
Altice USA,26.12,0.4910041131079197
IDEX,178.12,0.4863706678152085
Oneok,25.27,0.9480202347040176
Dollar General,211.52,0.16679368913173676
General Dynamics,138.22,0.9541476964950562
M&T Bank,92.21,0.4247715231031179
Baker Hughes Company,12.76,0.8673877790570259
Markel,965.65,0.8978113830089569
ViacomCBS,27.68,0.9351836740970612
Micron Technology,47.92,0.9360906295478344
Tyson Foods,59.22,0.75820192694664
Dell Technologies,67.54,0.9130386933684348
CIT Group,18.72,0.5995407998561859
C.H. Robinson,101.22,0.9538244381546974
Tenet Healthcare,24.87,0.8788597881793976
Roku,200.34,0.5
Extra Space Storage,109.24,0.7387432903051376
Cognizant,69.33,0.4789968058466911
MSCI,80.52,0.4304313063621521
Starbucks,86.74,0.9267259538173676
Apple,116.79,0.4731091987341642
NVR,4228.31,0.9682671725749971
Clorox,211.65,0.6402287334203721
Burlington Stores,208.54,0.9474988281726836
Halliburton,11.17,0.8745158016681671
Continental Resources,11.76,0.9328511059284209
J.B. Hunt Transport Services,125.21,0.4806176275014877
Xerox,18.67,0.913476586341858
Booking Holdings,1742.98,0.2502117455005646
Fidelity National Information,146.87,0.7515758126974106
State Street,58.75,0.8444066643714905
Boston Properties,82.83,0.8319485485553741
Trimble,48.87,0.25021176040172577
United Airlines Holdings,35.18,0.4896132647991181
Entergy,25.15,0.4948009252548218
Adobe,499.51,0.9495987594127656
Uber,37.14,0.9685581624507904
American Financial Group,68.95,0.7495909184217453
Delta Air Lines,31.1,0.4889581669121981
PG&E,9.83,0.8326443731784821
L Brands,6.2,0.8330876901745796
Hilton,21.38,0.7060162611305714
Manpower,72.57,0.7023555487394333
Danaher,214.67,0.4776728004217148
Alphabet,1490.09,0.903763510286808
Snap,145.12,0.17824988067150116
PPL,7.6,0.6967257708311081
AECOM Technology,42.24,0.7890055924654007
Coty,2.85,0.7493593990802765
VMware,144.7,0.9787408197298646
ResMed,169.51,0.25967991352081304
Jacobs Engineering,91.45,0.8957973718643188
Public Service Enterprise Group,55.07,0.4946065880358219
McDonald's,219.59,0.7544303350150585
Eli Lilly,144.29,0.914030522108078
Avnet,26.31,0.7377235591411591
