,name,industry,type,founded,num_employees,revenue,operating_income,net_income,student_careers_url,website,page_rank
1231,Snagajob,Online staffing platform,Private,-1,-1,-1.0,-1.0,-1.0,,https://www.snagajob.com/,6.1
1239,SoGoSurvey,Online survey services,,-1,-1,-1.0,-1.0,-1.0,,https://www.sogosurvey.com/,5.47
1252,Sopheon,Computer software,Public,-1,-1,-1.0,-1.0,-1.0,,https://www.sopheon.com/,5.06
1253,Sorcim,Software,Private,1980,-1,-1.0,-1.0,-1.0,,https://www.sorcim.com/,4.1
1255,SourceClear,,,2013,-1,-1.0,-1.0,-1.0,,https://app.sourceclear.io:443/,0.0
1263,SplendidCRM,CRM Software,Private,2005,0,-1.0,-1.0,-1.0,,http://splendidcrm.com/,5.03
1267,Spring,"software,Computer software",Subsidiary,-1,-1,-1.0,-1.0,-1.0,,https://spring.io/,6.08
1268,SQLstream,,,-1,-1,-1.0,-1.0,-1.0,,https://sqlstream.com/,5.35
1271,Stackify,Software,Private enterprise,-1,-1,-1.0,-1.0,-1.0,,https://stackify.com/,5.71
1277,Statsols,,,-1,-1,-1.0,-1.0,-1.0,,https://www.statsols.com/,5.38
1286,StrongLoop,Application performance management,Private Company,-1,-1,-1.0,-1.0,-1.0,,https://strongloop.com/,5.47
1287,SugarCRM,CRM Software,Private,-1,450,96000000.0,-1.0,-1.0,,https://www.sugarcrm.com/,6.06
1288,SugarSync,,,-1,-1,-1.0,-1.0,-1.0,,https://www1.sugarsync.com/,4.54
1295,Swiftype,"Software,Information Technology,Search Engines",Private,-1,40,-1.0,-1.0,-1.0,,https://swiftype.com/,5.73
1299,Precisely,Data Management,Private,-1,2000,-1.0,-1.0,-1.0,,https://www.precisely.com/,5.2
1317,Tavant,Computer software,Private Limited Company,-1,2500,-1.0,-1.0,-1.0,,https://www.tavant.com/,4.79
1318,Tealium,Marketing technology,,-1,-1,-1.0,-1.0,-1.0,,https://tealium.com/,6.02
1321,TechChange,,,-1,-1,-1.0,-1.0,-1.0,,https://www.techchange.org/,5.77
1325,Telenav,Location-based service,Public company,-1,583,-1.0,-1.0,-1.0,,https://www.telenav.com/,5.82
1328,Telerik,Software Development,Subsidiary,2002,-1,-1.0,-1.0,-1.0,,https://www.telerik.com/,6.43
1349,Atego,,,1996,-1,-1.0,-1.0,-1.0,,http://atego.com/,4.87
1364,TownNews.com,Online publishing,,1989,-1,-1.0,-1.0,-1.0,,https://townnews.com/,5.13
1367,TransLattice,"Relational Database Management System,RDBMS",,-1,20,-1.0,-1.0,-1.0,,http://translattice.com/,5.05
1370,Tricentis,"Software,information technology",,-1,-1,-1.0,-1.0,-1.0,,https://www.tricentis.com/,5.44
1371,Trilogy,"Service,Business Services",Private,-1,-1,-1.0,-1.0,-1.0,,https://trilogy.com/,4.71
1378,Tufin,Network Security,Public,-1,400,-1.0,-1.0,-1.0,,https://www.tufin.com/,5.39
1381,Turbonomic,"Virtualization,information technology",Private,-1,553,-1.0,-1.0,-1.0,,https://www.turbonomic.com/,5.24
1391,UST Global,IT Services,Private,-1,25000,-1.0,-1.0,-1.0,,https://ust-global.com/,5.39
1401,Universal Robots,Automation,,-1,680,248000000.0,-1.0,-1.0,,https://www.universal-robots.com/,5.81
1406,UserVoice,"Software,Help Desk,Customer Support",Private,-1,-1,-1.0,-1.0,-1.0,,https://uservoice.com/,5.75
1416,Velaro,,,-1,-1,-1.0,-1.0,-1.0,,https://velaro.com/,5.01
1430,Verix,software,,2007,-1,-1.0,-1.0,-1.0,,https://verix.com/,4.44
1433,Versata,Software,Private,-1,-1,-1.0,-1.0,-1.0,,http://versata.com/,4.58
1436,Vesess,"Software industry,Software,Web development",Private,2004,-1,-1.0,-1.0,-1.0,,https://www.vesess.com/,5.15
1438,Vicarious,Artificial intelligence,Privately held,2010,-1,-1.0,-1.0,-1.0,,https://www.vicarious.com/,5.39
1457,Vlingo,software,,-1,-1,-1.0,-1.0,-1.0,,https://vlingo.io/,4.96
1464,WSO2,Middleware,,2005,600,-1.0,-1.0,-1.0,,https://wso2.com/,5.65
1466,Wanderu,"Travel,Technology",Privately held company,-1,-1,-1.0,-1.0,-1.0,,https://www.wanderu.com/,5.82
1471,Web.com,,Private,1999,3500,1210000000.0,-1.0,-1.0,,https://www.web.com/,5.64
1477,Wellspring,"Web-based software knowledge supply chain,technology",,2003,-1,-1.0,-1.0,-1.0,,https://www.wellspring.com/,5.19
1478,WhatsApp,,,-1,-1,-1.0,-1.0,-1.0,,https://www.whatsapp.com/,7.08
1483,WibiData,Software development,Private,-1,-1,-1.0,-1.0,-1.0,,https://www.wibidata.com/,5.47
1485,Widen,,,1948,-1,-1.0,-1.0,-1.0,,https://www.widen.com/,5.59
1496,Workfront,SaaS,Project management software,2001,671,-1.0,-1.0,-1.0,,https://www.workfront.com/,5.81
1499,workspace.com,Software,Privately held,-1,-1,-1.0,-1.0,-1.0,,http://www.workspace.com/,4.07
1502,Wrike,,,-1,-1,-1.0,-1.0,-1.0,,https://www.wrike.com/,6.52
1515,Yalochat,"Artificial intelligence,chatbot,s services on,instant messaging,messaging,apps",,-1,-1,-1.0,-1.0,-1.0,,https://www.yalochat.com/,4.81
1521,zSpace,Augmented reality,Private,-1,-1,-1.0,-1.0,-1.0,,https://zspace.com/,5.37
1527,Zendesk,,Public,-1,3570,816000000.0,-1.0,-1.0,,https://www.zendesk.com/,6.71
1537,ZipBooks,,,-1,-1,-1.0,-1.0,-1.0,,https://zipbooks.com:443/,0.0
1546,ZyLAB,Software,Private,-1,140,-1.0,-1.0,-1.0,,https://www.zylab.com/,4.77
1560,Apple,,,-1,-1,-1.0,-1.0,-1.0,https://www.apple.com/jobs/us/students.html,https://www.apple.com/,8.01
1561,KLA,,,-1,-1,-1.0,-1.0,-1.0,https://www.kla-tencor.com/careers,https://www.kla-tencor.com/,5.17
1588,'''AECOM''',Professional services,Public company,-1,87000,18000000000.0,652000000.0,339000000.0,https://aecom.com/careers/who-we-hire-2/graduate-path/,https://aecom.com/,6.07
1599,CSX,,,-1,-1,-1.0,-1.0,-1.0,https://www.csx.com/index.cfm/working-at-csx/job-overviews/internship-programs/,https://www.csx.com/,5.66
1657,Markel,,,-1,-1,-1.0,-1.0,-1.0,https://www.markel.com/careers,https://www.markel.com/,4.65
1732,Roku,,Digital media player,-1,-1,-1.0,-1.0,-1.0,https://www.roku.com/jobs,https://www.roku.com/,6.29
1746,Nasdaq,,Stock exchange,-1,-1,-1.0,-1.0,-1.0,https://www.nasdaq.com/about/careers,https://www.nasdaq.com/,6.6
1756,UNFI,Food Wholesale / Distribution,Public,-1,19000,20000000000.0,241960000.0,-1.0,https://www.unfi.com/careers-home,https://unfi.com/,5.45
1781,Coca-Cola,,Cola,-1,-1,-1.0,-1.0,-1.0,https://www.coca-colacompany.com/careers,https://www.coca-cola.com/,6.09
1815,ConocoPhillips,Petroleum industry,Public,-1,10400,36670000000.0,-1.0,7189000000.0,https://careers.conocophillips.com/university-recruitment,https://www.conocophillips.com/,5.75
1857,Equitable,"Insurance,Life insurance,Life,Annuity,Annuities,Reinsurance",Public,-1,4100,9600000000.0,-1.0,-1.0,https://equitable.com/about-us/careers,https://equitable.com/,5.16
1864,Evergy,Electric utility,Public,-1,5000,5148000000.0,-1.0,-1.0,https://www.evergy.com/careers/internships,https://www.evergy.com/,5.39
1874,Facebook,,Social networking service,-1,-1,-1.0,-1.0,-1.0,https://www.facebook.com/careers/,https://www.facebook.com/,10.0
1910,Huntsman,,,-1,-1,-1.0,-1.0,-1.0,https://www.huntsman.com/careers,https://www.huntsman.com/,5.62
1912,IAC,Media,Public,-1,9269,3140000000.0,32600000.0,41300000.0,https://www.iac.com/careers/overview,https://www.iac.com:443/,0.0
2031,TransUnion,Information technology,Public,-1,8000,2656000000.0,607800000.0,346900000.0,https://www.transunion.com/careers/careers-at-tu,https://www.transunion.com/,6.14
2038,Loanpal,"Finance,Mortgage loan,Mortgage",Private,-1,525,-1.0,-1.0,-1.0,https://www.westernalliancebancorporation.com/about-western-alliance-bancorporation/careers,https://loanpal.com/,4.61
