,name,industry,type,founded,num_employees,revenue,operating_income,net_income,student_careers_url,website,page_rank
518,FellowshipOne,Church software,Privately held,-1,-1,-1.0,-1.0,-1.0,https://www.fellowshipone.com/careers/,https://www.fellowshipone.com/,5.56
523,FinalCode,Computer Software,Private,2014,-1,-1.0,-1.0,-1.0,https://www.dhs.gov/homeland-security-careers/students,https://finalcode.com/,4.61
525,FinancialForce,Computer Software,Private company,-1,750,-1.0,-1.0,-1.0,https://www.financialforce.com/about/careers/,https://www.financialforce.com/,5.49
532,FlexSim,,,-1,-1,-1.0,-1.0,-1.0,https://www.flexsim.com/students/,https://www.flexsim.com/,4.6
533,Flexera,,Investment company,1988,-1,-1.0,-1.0,-1.0,https://www.flexera.com/about-us/careers.html,https://www.flexera.com/,5.5
534,FloQast,Software,Private,2013,151,-1.0,-1.0,-1.0,https://floqast.com/company/careers/,https://floqast.com/,5.31
535,flok,"Mobile computing,Mobile,Mobile app,Chatbots",Subsidiary,-1,-1,-1.0,-1.0,-1.0,https://careers.flock.com/,http://flok.com/,4.92
558,Genesys,Customer experience,Private,-1,5935,2000000000.0,-1.0,-1.0,https://www.genesys.com/company/careers,https://www.genesys.com/,6.0
560,GestureTek,,,1986,-1,-1.0,-1.0,-1.0,,http://gesturetek.com/,5.32
562,Gigmax,"data backup,Data Backup,Data Synchronization,File hosting service",,-1,-1,-1.0,-1.0,-1.0,,http://www.gigmax.com/,3.86
564,Glitch,Software,Private,-1,32,-1.0,-1.0,-1.0,https://glitch.com/about,https://glitch.com/,6.01
565,Globalscape,"Managed File Transfer,Information Security,Network Management,SSH File Transfer Protocol,Secure File Transfer",Public,-1,-1,-1.0,-1.0,-1.0,https://www.globalscape.com/careers,https://www.globalscape.com/,5.35
569,GoGuardian,Education Technology,,-1,-1,-1.0,-1.0,-1.0,https://www.goguardian.com/careers/,https://www.goguardian.com/,5.57
573,GoodData,Computer software,Private ,-1,291,-1.0,-1.0,-1.0,https://www.gooddata.com/company/careers,https://www.gooddata.com/,5.63
574,GotoBus,"Travel,Technology",Private,-1,25,-1.0,-1.0,-1.0,https://www.gotobus.com/aboutus/employment/,https://www.gotobus.com/,5.76
582,Graylog,"Enterprise software,Opensource software",Private,-1,11,-1.0,-1.0,-1.0,https://www.graylog.org/careers,https://www.graylog.org/,5.53
587,GridPoint,,,-1,-1,-1.0,-1.0,-1.0,https://www.gridpoint.com/careers/,https://www.gridpoint.com/,5.24
593,Gupshup,Software,Private company,-1,-1,-1.0,-1.0,-1.0,https://www.gupshupnyc.com/jobs/,https://www.gupshup.io/,5.47
595,Gusto,,,2011,-1,-1.0,-1.0,-1.0,https://gusto.com/about/careers,https://gusto.com:443/,0.0
605,HelloSociety,Marketing Communications,,-1,-1,-1.0,-1.0,-1.0,https://hellosociety.com/,https://hellosociety.com/,5.84
610,Hexnode,"Enterprise mobility management,software",,-1,-1,-1.0,-1.0,-1.0,https://www.hexnode.com/mobile-device-management/,https://www.hexnode.com/,5.53
623,Hubstaff,Corporate transparency,,2012,-1,-1.0,-1.0,-1.0,https://hubstaff.com/jobs,https://hubstaff.com/,5.82
624,Humanyze,Internet Software Computer Hardware,C corporation,2010,-1,-1.0,-1.0,-1.0,https://www.humanyze.com/careers/,https://www.humanyze.com/,5.48
636,iModerate,Research Technologies,,-1,-1,-1.0,-1.0,-1.0,https://www.imoderate.com/,http://imoderate.com/,4.86
638,IQMS,"Software,Computer Software",Private,1989,312,53500000.0,-1.0,-1.0,https://www.iqms.com/company/careers/software-dev-intern,https://www.iqms.com/,4.9
643,IZotope,"Software industry,Semiconductor intellectual property core,SIP licensing",,-1,-1,-1.0,-1.0,-1.0,https://www.izotope.com/en/company/education/partners.html,https://www.izotope.com/,5.88
645,IdeaScale,"Innovation Management,Software",Private,-1,-1,-1.0,-1.0,-1.0,https://ideascale.com/ideascale-careers/,https://ideascale.com/,5.68
650,Impelsys,Electronic publishing,Private,2001,-1,-1.0,-1.0,-1.0,https://www.impelsys.com/careers/,https://www.impelsys.com/,4.85
653,Imply,"Software,Computer software",,-1,-1,-1.0,-1.0,-1.0,https://imply.io/careers,https://imply.io/,5.38
655,InMarket,AdTech,Private,-1,100,-1.0,-1.0,-1.0,https://inmarket.com/careers/,https://inmarket.com/,5.7
657,Inbenta,"Natural language processing,artificial intelligence,Internet,information technology",AI Chatbots,-1,-1,-1.0,-1.0,-1.0,https://www.inbenta.com/en/about-us/careers/,https://www.inbenta.com:443/,0.0
660,Inedo,"Information Technology,Computer software",LLC,-1,-1,-1.0,-1.0,-1.0,https://inedo.com/company/career-culture,https://inedo.com/,5.61
663,Infinidat,Data storage,Private,-1,-1,-1.0,-1.0,-1.0,https://hiring.infinidat.com/,https://www.infinidat.com/,5.28
666,Infor,Enterprise software,Private,2002,17000,2800000000.0,-1.0,-1.0,https://www.infor.com/about/careers,https://www.infor.com/,5.87
667,Informatica,"Software,Software industry",Private,1993,4800,1050000000.0,-1.0,114000000.0,https://informatica.gr8people.com/,https://www.informatica.com/,5.92
670,Inkling,Software,,-1,-1,-1.0,-1.0,-1.0,https://www.inkling.com/careers/,https://www.inkling.com/,6.08
673,Inovalon,Technology,Public,-1,2500,-1.0,-1.0,-1.0,https://www.inovalon.com/careers/,https://www.inovalon.com/,5.05
678,Instabase,Software,Private,-1,-1,-1.0,-1.0,-1.0,https://about.instabase.com/careers/,https://about.instabase.com/,4.52
680,Intego,"Computer software,Security software",Privately held company,-1,-1,-1.0,-1.0,-1.0,https://www.intego.com/company/careers,https://www.intego.com/,5.81
684,Intelisys,technology,,1994,-1,-1.0,-1.0,-1.0,https://intelisys.com/about/careers/,https://intelisys.com/,5.03
687,IntelliTrack,Software,,1989,-1,-1.0,-1.0,-1.0,https://www.intellitrak.com/contact-us/employment/,https://intellitrack.com/,3.88
690,InterSystems,software,Private,-1,-1,-1.0,-1.0,-1.0,https://www.intersystems.com/who-we-are/careers/,https://www.intersystems.com/,5.57
697,Intetics,"Information technology outsourcing,IT Outsourcing Services",Private,-1,-1,-1.0,-1.0,-1.0,https://intetics.com/careers,https://intetics.com/,5.43
707,Ivanti,IT Security and Systems Management Software,Private,-1,-1,-1.0,-1.0,-1.0,https://www.ivanti.com/company/careers,https://www.ivanti.com/,5.75
713,Jadu,"Software industry,Software",Private limited company by shares,-1,-1,-1.0,-1.0,-1.0,https://www.jadu.net/careers,https://www.jadu.net/,5.21
715,JanusVR,,Private,-1,-1,-1.0,-1.0,-1.0,https://www.mckinsey.com/careers/students,https://janusvr.com/,5.46
728,Kaltura,Internet Video,Privately held,-1,450,-1.0,-1.0,-1.0,https://corp.kaltura.com/company/careers/,https://corp.kaltura.com/,5.95
732,Kareo,,Private,-1,-1,-1.0,-1.0,-1.0,https://www.kareo.com/careers,https://www.kareo.com/,5.48
733,Keap,"Small business,customer relationship management,Email marketing,E-commerce",Private,-1,650,100000000.0,-1.0,-1.0,https://careers.state.gov/,https://keap.com/,5.37
740,Kinetica,,,-1,-1,-1.0,-1.0,-1.0,https://www.kinetica.com/careers/,https://www.kinetica.com/,5.13
743,Kiswe,"Video production,sports media,broadcasting",Private,-1,-1,-1.0,-1.0,-1.0,https://www.kiswe.com/pages/careers,https://www.kiswe.com/,4.84
748,Knowland,web-based software,,-1,-1,-1.0,-1.0,-1.0,https://www.knowland.com/careers/,https://www.knowland.com/,4.82
750,Koombea,Software development mobile development IoT,Private,-1,-1,-1.0,-1.0,-1.0,https://www.koombea.com/careers/,https://www.koombea.com/,5.26
758,LabWare,Software,,-1,-1,-1.0,-1.0,-1.0,https://www.accenture.com/us-en/careers/jobdetails?id=00830723_en,https://labware.com/,5.05
767,Letgo,"Marketplace,Application software",Online classifieds,-1,-1,-1.0,-1.0,-1.0,https://we.letgo.com/careers,https://www.letgo.com/,5.74
768,Lever,,,2012,-1,-1.0,-1.0,-1.0,https://www.lever.co/careers/,https://www.lever.co/,5.62
772,Limnu,,,-1,-1,-1.0,-1.0,-1.0,https://limnu.com/,https://limnu.com/,4.87
776,LiquidPlanner,,,-1,-1,-1.0,-1.0,-1.0,https://www.liquidplanner.com/blog/category/careers/,https://www.liquidplanner.com/,5.94
783,Local Matters,software,Privately held company,2005,-1,-1.0,-1.0,-1.0,https://www.local-matters.org/jobs-internships,https://www.local-matters.org/,5.11
786,LogDNA,Enterprise software,Private,-1,-1,-1.0,-1.0,-1.0,https://logdna.com/culture-and-career/,https://logdna.com/,5.53
788,Loggly,"Computer software,Enterprise software,log management and intelligence",Subsidiary,-1,-1,-1.0,-1.0,-1.0,https://www.loggly.com/about/careers/,https://www.loggly.com/,5.75
790,Looker,"Computer software,Enterprise Software",Privately held company,-1,500,-1.0,-1.0,-1.0,https://looker.com/blog/interns-of-looker,https://looker.com/,6.14
795,LumenVox,Telecommunications,Private,-1,-1,-1.0,-1.0,-1.0,https://www.lumenvox.com/careers/,https://www.lumenvox.com/,4.48
796,Ivanti,IT Security and Systems Management Software,Private,-1,-1,-1.0,-1.0,-1.0,https://www.dhs.gov/homeland-security-careers/student-and-recent-grads,https://www.ivanti.com/,5.75
802,mLab,Software Cloud Databases,,-1,-1,-1.0,-1.0,-1.0,https://mlab.com/,https://mlab.com/,5.65
806,Magento,,,-1,-1,-1.0,-1.0,-1.0,https://www.adobe.com/careers.html,https://magento.com:443/,0.0
821,MartianCraft,Software,Private,-1,51,-1.0,-1.0,-1.0,https://martiancraft.com/careers.html,http://martiancraft.com/,5.76
828,Mavenir,Telecommunications software,Private,-1,3300,-1.0,-1.0,-1.0,https://jindal.utdallas.edu/internship-stories/1599,https://mavenir.com/,5.43
850,Mi-Case,software,,2006,-1,-1.0,-1.0,-1.0,https://courts.michigan.gov/Administration/jobs/Pages/default.aspx,https://www.mi-case.com/,3.46
852,MiMedia,,,-1,-1,-1.0,-1.0,-1.0,https://angel.co/company/mimedia/jobs,http://mimedia.com/,5.26
869,MobileIron,"Mobile Security,Unified Endpoint Management,Enterprise Mobility Management,Mobile Device Management",Public,2007,959,205000000.0,-1.0,-1.0,https://www.mobileiron.com/en/company/careers,https://www.mobileiron.com/,5.64
881,Moovweb,Platform as a Service Serverless Computing Cloud Computing,,2009,-1,-1.0,-1.0,-1.0,,https://www.moovweb.com/,5.49
890,nCino,Banking Software,Public,-1,934,-1.0,-1.0,-1.0,,https://www.ncino.com/,5.12
893,Namely,Human Resources Management System,Private,2012,500,-1.0,-1.0,-1.0,,https://www.namely.com/,5.79
899,Nasuni,Cloud Storage,Private,-1,287,-1.0,-1.0,-1.0,,https://www.nasuni.com/,5.34
900,NationBuilder,technology software,,2009,-1,-1.0,-1.0,-1.0,,https://nationbuilder.com/,5.84
902,Naviance,"Software industry,Software",Private,-1,-1,-1.0,-1.0,-1.0,,https://naviance.com/,5.69
905,NetDocuments,"Content Management,Software as a service",Privately Held Company,-1,-1,-1.0,-1.0,-1.0,,https://www.netdocuments.com/,5.62
918,Netwrix,"information technology,Software",Private,-1,-1,-1.0,-1.0,-1.0,,https://www.netwrix.com/,5.47
